from_block,to_block,distance_m
B05,B37,534
B05,B38,546
B05,B39,558
B05,B40,570
B06,B01,210
B06,B02,198
B06,B03,186
B06,B04,174
B06,B05,162
B06,B07,162
B06,B08,174
B06,B09,186
B06,B10,198
B06,B11,210
B06,B12,222
B06,B13,234
B06,B14,246
B06,B15,258
B06,B16,270
B06,B17,282
B06,B18,294
B06,B19,306
B06,B20,318
B06,B21,330
B06,B22,342
B06,B23,354
B06,B24,366
B06,B25,378
B06,B26,390
B06,B27,402
B06,B28,414
B06,B29,426
B06,B30,438
B06,B31,450
B06,B32,462
B06,B33,474
B06,B34,486
B06,B35,498
B06,B36,510
B06,B37,522
B06,B38,534
B06,B39,546
B06,B40,558
B07,B01,222
B07,B02,210
B07,B03,198
B07,B04,186
B07,B05,174
B07,B06,162
B07,B08,162
B07,B09,174
B07,B10,186
B07,B11,198
B07,B12,210
B07,B13,222
B07,B14,234
B07,B15,246
B07,B16,258
B07,B17,270
B07,B18,282
B07,B19,294
B07,B20,306
B07,B21,318
B07,B22,330
B07,B23,342
B07,B24,354
B07,B25,366
B07,B26,378
B07,B27,390
B07,B28,402
B07,B29,414
B07,B30,426
B07,B31,438
B07,B32,450
B07,B33,462
B07,B34,474
B07,B35,486
B07,B36,498
B07,B37,510
B07,B38,522
B07,B39,534
B07,B40,546
B08,B01,234
B08,B02,222
B08,B03,210
B08,B04,198
B08,B05,186
B08,B06,174
B08,B07,162
B08,B09,162
B08,B10,174
B08,B11,186
B08,B12,198
B08,B13,210
B08,B14,222
B08,B15,234
B08,B16,246
B08,B17,258
B08,B18,270
B08,B19,282
B08,B20,294
B08,B21,306
B08,B22,318
B08,B23,330
B08,B24,342
B08,B25,354
B08,B26,366
B08,B27,378
B08,B28,390
B08,B29,402
B08,B30,414
B08,B31,426
B08,B32,438
B08,B33,450
B08,B34,462
B08,B35,474
B08,B36,486
B08,B37,498
B08,B38,510
B08,B39,522
B08,B40,534
B09,B01,246
B09,B02,234
B09,B03,222
B09,B04,210
B09,B05,198
B09,B06,186
B09,B07,174
B09,B08,162
B09,B10,162
B09,B11,174
B09,B12,186
B09,B13,198
B09,B14,210
B09,B15,222
B09,B16,234
B09,B17,246
B09,B18,258
B09,B19,270
B09,B20,282
B09,B21,294
B09,B22,306
B09,B23,318
B09,B24,330
B09,B25,342
B09,B26,354
B09,B27,366
B09,B28,378
B09,B29,390
B09,B30,402
B09,B31,414
B09,B32,426
B09,B33,438
B09,B34,450
B09,B35,462
B09,B36,474
B09,B37,486
B09,B38,498
B09,B39,510
B09,B40,522
B10,B01,258
B10,B02,246
B10,B03,234
B10,B04,222
B10,B05,210
B10,B06,198
B10,B07,186
B10,B08,174
B10,B09,162
B10,B11,162
B10,B12,174
B10,B13,186
B10,B14,198
B10,B15,210
B10,B16,222
B10,B17,234
B10,B18,246
B10,B19,258
B10,B20,270
B10,B21,282
B10,B22,294
B10,B23,306
B10,B24,318
B10,B25,330
B10,B26,342
B10,B27,354
B10,B28,366
B10,B29,378
B10,B30,390
B10,B31,402
B10,B32,414
B10,B33,426
B10,B34,438
B10,B35,450
B10,B36,462
B10,B37,474
B10,B38,486
B10,B39,498
B10,B40,510
B11,B01,270
B11,B02,258
B11,B03,246
B11,B04,234
B11,B05,222
B11,B06,210
B11,B07,198
B11,B08,186
B11,B09,174
B11,B10,162
B11,B12,162
B11,B13,174
B11,B14,186
B11,B15,198
B11,B16,210
B11,B17,222
B11,B18,234
B11,B19,246
B11,B20,258
B11,B21,270
B11,B22,282
B11,B23,294
B11,B24,306
B11,B25,318
B11,B26,330
B11,B27,342
B11,B28,354
B11,B29,366
B11,B30,378
B11,B31,390
B11,B32,402
B11,B33,414
B11,B34,426
B11,B35,438
B11,B36,450
B11,B37,462
B11,B38,474
B11,B39,486
B11,B40,498
B12,B01,282
B12,B02,270
B12,B03,258
B12,B04,246
B12,B05,234
B12,B06,222
B12,B07,210
B12,B08,198
B12,B09,186
B12,B10,174
B12,B11,162
B12,B13,162
B12,B14,174
B12,B15,186
B12,B16,198
B12,B17,210
B12,B18,222
B12,B19,234
B12,B20,246
B12,B21,258
B12,B22,270
B12,B23,282
B12,B24,294
B12,B25,306
B12,B26,318
B12,B27,330
B12,B28,342
B12,B29,354
B12,B30,366
B12,B31,378
B12,B32,390
B12,B33,402
B12,B34,414
B12,B35,426
B12,B36,438
B12,B37,450
B12,B38,462
B12,B39,474
B12,B40,486
B13,B01,294
B13,B02,282
B13,B03,270
B13,B04,258
B13,B05,246
B13,B06,234
B13,B07,222
B13,B08,210
B13,B09,198
B13,B10,186
B13,B11,174
B13,B12,162
B13,B14,162
B13,B15,174
B13,B16,186
B13,B17,198
B13,B18,210
B13,B19,222
B13,B20,234
B13,B21,246
B13,B22,258
B13,B23,270
B13,B24,282
B13,B25,294
B13,B26,306
B13,B27,318
B13,B28,330
B13,B29,342
B13,B30,354
B13,B31,366
B13,B32,378
B13,B33,390
B13,B34,402
B13,B35,414
B13,B36,426
B13,B37,438
B13,B38,450
B13,B39,462
B13,B40,474
B14,B01,306
B14,B02,294
B14,B03,282
B14,B04,270
B14,B05,258
B14,B06,246
B14,B07,234
B14,B08,222
B14,B09,210
B14,B10,198
B14,B11,186
B14,B12,174
B14,B13,162
B14,B15,162
B14,B16,174
B14,B17,186
B14,B18,198
B14,B19,210
B14,B20,222
B14,B21,234
B14,B22,246
B14,B23,258
B14,B24,270
B14,B25,282
B14,B26,294
B14,B27,306
B14,B28,318
B14,B29,330
B14,B30,342
B14,B31,354
B14,B32,366
B14,B33,378
B14,B34,390
B14,B35,402
B14,B36,414
B14,B37,426
B14,B38,438
B14,B39,450
B14,B40,462
B15,B01,318
B15,B02,306
B15,B03,294
B15,B04,282
B15,B05,270
B15,B06,258
B15,B07,246
B15,B08,234
B15,B09,222
B15,B10,210
B15,B11,198
B15,B12,186
B15,B13,174
B15,B14,162
B15,B16,162
B15,B17,174
B15,B18,186
B15,B19,198
B15,B20,210
B15,B21,222
B15,B22,234
B15,B23,246
B15,B24,258
B15,B25,270
B15,B26,282
B15,B27,294
B15,B28,306
B15,B29,318
B15,B30,330
B15,B31,342
B15,B32,354
B15,B33,366
B15,B34,378
B15,B35,390
B15,B36,402
B15,B37,414
B15,B38,426
B15,B39,438
B15,B40,450
B16,B01,330
B16,B02,318
B16,B03,306
B16,B04,294
B16,B05,282
B16,B06,270
B16,B07,258
B16,B08,246
B16,B09,234
B16,B10,222
B16,B11,210
B16,B12,198
B16,B13,186
B16,B14,174
B16,B15,162
B16,B17,162
B16,B18,174
B16,B19,186
B16,B20,198
B16,B21,210
B16,B22,222
B16,B23,234
B16,B24,246
B16,B25,258
B16,B26,270
B16,B27,282
B16,B28,294
B16,B29,306
B16,B30,318
B16,B31,330
B16,B32,342
B16,B33,354
B16,B34,366
B16,B35,378
B16,B36,390
B16,B37,402
B16,B38,414
B16,B39,426
B16,B40,438
B17,B01,342
B17,B02,330
B17,B03,318
B17,B04,306
B17,B05,294
B17,B06,282
B17,B07,270
B17,B08,258
B17,B09,246
B17,B10,234
B17,B11,222
B17,B12,210
B17,B13,198
B17,B14,186
B17,B15,174
B17,B16,162
B17,B18,162
B17,B19,174
B17,B20,186
B17,B21,198
B17,B22,210
B17,B23,222
B17,B24,234
B17,B25,246
B17,B26,258
B17,B27,270
B17,B28,282
B17,B29,294
B17,B30,306
B17,B31,318
B17,B32,330
B17,B33,342
B17,B34,354
B17,B35,366
B17,B36,378
B17,B37,390
B17,B38,402
B17,B39,414
B17,B40,426
B18,B01,354
B18,B02,342
B18,B03,330
B18,B04,318
B18,B05,306
B18,B06,294
B18,B07,282
B18,B08,270
B18,B09,258
B18,B10,246
B18,B11,234
B18,B12,222
B18,B13,210
B18,B14,198
B18,B15,186
B18,B16,174
B18,B17,162
B18,B19,162
B18,B20,174
B18,B21,186
B18,B22,198
B18,B23,210
B18,B24,222
B18,B25,234
B18,B26,246
B18,B27,258
B18,B28,270
B18,B29,282
B18,B30,294
B18,B31,306
B18,B32,318
B18,B33,330
B18,B34,342
B18,B35,354
B18,B36,366
B18,B37,378
B18,B38,390
B18,B39,402
B18,B40,414
B19,B01,366
B19,B02,354
B19,B03,342
B19,B04,330
B19,B05,318
B19,B06,306
B19,B07,294
B19,B08,282
B19,B09,270
B19,B10,258
B19,B11,246
B19,B12,234
B19,B13,222
B19,B14,210
B19,B15,198
B19,B16,186
B19,B17,174
B19,B18,162
B19,B20,162
B19,B21,174
B19,B22,186
B19,B23,198
B19,B24,210
B19,B25,222
B19,B26,234
B19,B27,246
B19,B28,258
B19,B29,270
B19,B30,282
B19,B31,294
B19,B32,306
B19,B33,318
B19,B34,330
B19,B35,342
B19,B36,354
B19,B37,366
B19,B38,378
B19,B39,390
B19,B40,402
B20,B01,378
B20,B02,366
B20,B03,354
B20,B04,342
B20,B05,330
B20,B06,318
B20,B07,306
B20,B08,294
B20,B09,282
B20,B10,270
B20,B11,258
B20,B12,246
B20,B13,234
B20,B14,222
B20,B15,210
B20,B16,198
B20,B17,186
B20,B18,174
B20,B19,162
B20,B21,162
B20,B22,174
B20,B23,186
B20,B24,198
B20,B25,210
B20,B26,222
B20,B27,234
B20,B28,246
B20,B29,258
B20,B30,270
B20,B31,282
B20,B32,294
B20,B33,306
B20,B34,318
B20,B35,330
B20,B36,342
B20,B37,354
B20,B38,366
B20,B39,378
B20,B40,390
B21,B01,390
B21,B02,378
B21,B03,366
B21,B04,354
B21,B05,342
B21,B06,330
B21,B07,318
B21,B08,306
B21,B09,294
B21,B10,282
B21,B11,270
B21,B12,258
B21,B13,246
B21,B14,234
B21,B15,222
B21,B16,210
B21,B17,198
B21,B18,186
B21,B19,174
B21,B20,162
B21,B22,162
B21,B23,174
B21,B24,186
B21,B25,198
B21,B26,210
B21,B27,222
B21,B28,234
B21,B29,246
B21,B30,258
B21,B31,270
B21,B32,282
B21,B33,294
B21,B34,306
B21,B35,318
B21,B36,330
B21,B37,342
B21,B38,354
B21,B39,366
B21,B40,378
B22,B01,402
B22,B02,390
B22,B03,378
B22,B04,366
B22,B05,354
B22,B06,342
B22,B07,330
B22,B08,318
B22,B09,306
B22,B10,294
B22,B11,282
B22,B12,270
B22,B13,258
B22,B14,246
B22,B15,234
B22,B16,222
B22,B17,210
B22,B18,198
B22,B19,186
B22,B20,174
B22,B21,162
B22,B23,162
B22,B24,174
B22,B25,186
B22,B26,198
B22,B27,210
B22,B28,222
B22,B29,234
B22,B30,246
B22,B31,258
B22,B32,270
B22,B33,282
B22,B34,294
B22,B35,306
B22,B36,318
B22,B37,330
B22,B38,342
B22,B39,354
B22,B40,366
B23,B01,414
B23,B02,402
B23,B03,390
B23,B04,378
B23,B05,366
B23,B06,354
B23,B07,342
B23,B08,330
B23,B09,318
B23,B10,306
B23,B11,294
B23,B12,282
B23,B13,270
B23,B14,258
B23,B15,246
B23,B16,234
B23,B17,222
B23,B18,210
B23,B19,198
B23,B20,186
B23,B21,174
B23,B22,162
B23,B24,162
B23,B25,174
B23,B26,186
B23,B27,198
B23,B28,210
B23,B29,222
B23,B30,234
B23,B31,246
B23,B32,258
B23,B33,270
B23,B34,282
B23,B35,294
B23,B36,306
B23,B37,318
B23,B38,330
B23,B39,342
B23,B40,354
B24,B01,426
B24,B02,414
B24,B03,402
B24,B04,390
B24,B05,378
B24,B06,366
B24,B07,354
B24,B08,342
B24,B09,330
B24,B10,318
B24,B11,306
B24,B12,294
B24,B13,282
B24,B14,270
B24,B15,258
B24,B16,246
B24,B17,234
B24,B18,222
B24,B19,210
B24,B20,198
B24,B21,186
B24,B22,174
B24,B23,162
B24,B25,162
B24,B26,174
B24,B27,186
B24,B28,198
B24,B29,210
B24,B30,222
B24,B31,234
B24,B32,246
B24,B33,258
B24,B34,270
B24,B35,282
B24,B36,294
B24,B37,306
B24,B38,318
B24,B39,330
B24,B40,342
B25,B01,438
B25,B02,426
B25,B03,414
B25,B04,402
B25,B05,390
B25,B06,378
B25,B07,366
B25,B08,354
B25,B09,342
B25,B10,330
B25,B11,318
B25,B12,306
B25,B13,294
B25,B14,282
B25,B15,270
B25,B16,258
B25,B17,246
B25,B18,234
B25,B19,222
B25,B20,210
B25,B21,198
B25,B22,186
B25,B23,174
B25,B24,162
B25,B26,162
B25,B27,174
B25,B28,186
B25,B29,198
B25,B30,210
B25,B31,222
B25,B32,234
B25,B33,246
B25,B34,258
B25,B35,270
B25,B36,282
B25,B37,294
B25,B38,306
B25,B39,318
B25,B40,330
B26,B01,450
B26,B02,438
B26,B03,426
B26,B04,414
B26,B05,402
B26,B06,390
B26,B07,378
B26,B08,366
B26,B09,354
B26,B10,342
B26,B11,330
B26,B12,318
B26,B13,306
B26,B14,294
B26,B15,282
B26,B16,270
B26,B17,258
B26,B18,246
B26,B19,234
B26,B20,222
B26,B21,210
B26,B22,198
B26,B23,186
B26,B24,174
B26,B25,162
B26,B27,162
B26,B28,174
B26,B29,186
B26,B30,198
B26,B31,210
B26,B32,222
B26,B33,234
B26,B34,246
B26,B35,258
B26,B36,270
B26,B37,282
B26,B38,294
B26,B39,306
B26,B40,318
B27,B01,462
B27,B02,450
B27,B03,438
B27,B04,426
B27,B05,414
B27,B06,402
B27,B07,390
B27,B08,378
B27,B09,366
B27,B10,354
B27,B11,342
B27,B12,330
B27,B13,318
B27,B14,306
B27,B15,294
B27,B16,282
B27,B17,270
B27,B18,258
B27,B19,246
B27,B20,234
B27,B21,222
B27,B22,210
B27,B23,198
B27,B24,186
B27,B25,174
B27,B26,162
B27,B28,162
B27,B29,174
B27,B30,186
B27,B31,198
B27,B32,210
B27,B33,222
B27,B34,234
B27,B35,246
B27,B36,258
B27,B37,270
B27,B38,282
B27,B39,294
B27,B40,306
B28,B01,474
B28,B02,462
B28,B03,450
B28,B04,438
B28,B05,426
B28,B06,414
B28,B07,402
B28,B08,390
B28,B09,378
B28,B10,366
B28,B11,354
B28,B12,342
B28,B13,330
B28,B14,318
B28,B15,306
B28,B16,294
B28,B17,282
B28,B18,270
B28,B19,258
B28,B20,246
B28,B21,234
B28,B22,222
B28,B23,210
B28,B24,198
B28,B25,186
B28,B26,174
B28,B27,162
B28,B29,162
B28,B30,174
B28,B31,186
B28,B32,198
B28,B33,210
B28,B34,222
B28,B35,234
B28,B36,246
B28,B37,258
B28,B38,270
B28,B39,282
B28,B40,294
B29,B01,486
B29,B02,474
B29,B03,462
B29,B04,450
B29,B05,438
B29,B06,426
B29,B07,414
B29,B08,402
B29,B09,390
B29,B10,378
B29,B11,366
B29,B12,354
B29,B13,342
B29,B14,330
B29,B15,318
B29,B16,306
B29,B17,294
B29,B18,282
B29,B19,270
B29,B20,258
B29,B21,246
B29,B22,234
B29,B23,222
B29,B24,210
B29,B25,198
B29,B26,186
B29,B27,174
B29,B28,162
B29,B30,162
B29,B31,174
B29,B32,186
B29,B33,198
B29,B34,210
B29,B35,222
B29,B36,234
B29,B37,246
B29,B38,258
B29,B39,270
B29,B40,282
B30,B01,498
B30,B02,486
B30,B03,474
B30,B04,462
B30,B05,450
B30,B06,438
B30,B07,426
B30,B08,414
B30,B09,402
B30,B10,390
B30,B11,378
B30,B12,366
B30,B13,354
B30,B14,342
B30,B15,330
B30,B16,318
B30,B17,306
B30,B18,294
B30,B19,282
B30,B20,270
B30,B21,258
B30,B22,246
B30,B23,234
B30,B24,222
B30,B25,210
B30,B26,198
B30,B27,186
B30,B28,174
B30,B29,162
B30,B31,162
B30,B32,174
B30,B33,186
B30,B34,198
B30,B35,210
B30,B36,222
B30,B37,234
B30,B38,246
B30,B39,258
B30,B40,270
B31,B01,510
B31,B02,498
B31,B03,486
B31,B04,474
B31,B05,462
B31,B06,450
B31,B07,438
B31,B08,426
B31,B09,414
B31,B10,402
B31,B11,390
B31,B12,378
B31,B13,366
B31,B14,354
B31,B15,342
B31,B16,330
B31,B17,318
B31,B18,306
B31,B19,294
B31,B20,282
B31,B21,270
B31,B22,258
B31,B23,246
B31,B24,234
B31,B25,222
B31,B26,210
B31,B27,198
B31,B28,186
B31,B29,174
B31,B30,162
B31,B32,162
B31,B33,174
B31,B34,186
B31,B35,198
B31,B36,210
B31,B37,222
B31,B38,234
B31,B39,246
B31,B40,258
B32,B01,522
B32,B02,510
B32,B03,498
B32,B04,486
B32,B05,474
B32,B06,462
B32,B07,450
B32,B08,438
B32,B09,426
B32,B10,414
B32,B11,402
B32,B12,390
B32,B13,378
B32,B14,366
B32,B15,354
B32,B16,342
B32,B17,330
B32,B18,318
B32,B19,306
B32,B20,294
B32,B21,282
B32,B22,270
B32,B23,258
B32,B24,246
B32,B25,234
B32,B26,222
B32,B27,210
B32,B28,198
B32,B29,186
B32,B30,174
B32,B31,162
B32,B33,162
B32,B34,174
B32,B35,186
B32,B36,198
B32,B37,210
B32,B38,222
B32,B39,234
B32,B40,246
B33,B01,534
B33,B02,522
B33,B03,510
B33,B04,498
B33,B05,486
B33,B06,474
B33,B07,462
B33,B08,450
B33,B09,438
B33,B10,426
B33,B11,414
B33,B12,402
B33,B13,390
B33,B14,378
B33,B15,366
B33,B16,354
B33,B17,342
B33,B18,330
B33,B19,318
B33,B20,306
B33,B21,294
B33,B22,282
B33,B23,270
B33,B24,258
B33,B25,246
B33,B26,234
B33,B27,222
B33,B28,210
B33,B29,198
B33,B30,186
B33,B31,174
B33,B32,162
B33,B34,162
B33,B35,174
B33,B36,186
B33,B37,198
B33,B38,210
B33,B39,222
B33,B40,234
B34,B01,546
B34,B02,534
B34,B03,522
B34,B04,510
B34,B05,498
B34,B06,486
B34,B07,474
B34,B08,462
B34,B09,450
B34,B10,438
B34,B11,426
B34,B12,414
B34,B13,402
B34,B14,390
B34,B15,378
B34,B16,366
B34,B17,354
B34,B18,342
B34,B19,330
B34,B20,318
B34,B21,306
B34,B22,294
B34,B23,282
B34,B24,270
B34,B25,258
B34,B26,246
B34,B27,234
B34,B28,222
B34,B29,210
B34,B30,198
B34,B31,186
B34,B32,174
B34,B33,162
B34,B35,162
B34,B36,174
B34,B37,186
B34,B38,198
B34,B39,210
B34,B40,222
B35,B01,558
B35,B02,546
B35,B03,534
B35,B04,522
B35,B05,510
B35,B06,498
B35,B07,486
B35,B08,474
B35,B09,462
B35,B10,450
B35,B11,438
B35,B12,426
B35,B13,414
B35,B14,402
B35,B15,390
B35,B16,378
B35,B17,366
B35,B18,354
B35,B19,342
B35,B20,330
B35,B21,318
B35,B22,306
B35,B23,294
B35,B24,282
B35,B25,270
B35,B26,258
B35,B27,246
B35,B28,234
B35,B29,222
B35,B30,210
B35,B31,198
B35,B32,186
B35,B33,174
B35,B34,162
B35,B36,162
B35,B37,174
B35,B38,186
B35,B39,198
B35,B40,210
B36,B01,570
B36,B02,558
B36,B03,546
B36,B04,534
B36,B05,522
B36,B06,510
B36,B07,498
B36,B08,486
B36,B09,474
B36,B10,462
B36,B11,450
B36,B12,438
B36,B13,426
B36,B14,414
B36,B15,402
B36,B16,390
B36,B17,378
B36,B18,366
B36,B19,354
B36,B20,342
B36,B21,330
B36,B22,318
B36,B23,306
B36,B24,294
B36,B25,282
B36,B26,270
B36,B27,258
B36,B28,246
B36,B29,234
B36,B30,222
B36,B31,210
B36,B32,198
B36,B33,186
B36,B34,174
B36,B35,162
B36,B37,162
B36,B38,174
B36,B39,186
B36,B40,198
B37,B01,582
B37,B02,570
B37,B03,558
B37,B04,546
B37,B05,534
B37,B06,522
B37,B07,510
B37,B08,498
B37,B09,486
B37,B10,474
B37,B11,462
B37,B12,450
B37,B13,438
B37,B14,426
B37,B15,414
B37,B16,402
B37,B17,390
B37,B18,378
B37,B19,366
B37,B20,354
B37,B21,342
B37,B22,330
B37,B23,318
B37,B24,306
B37,B25,294
B37,B26,282
B37,B27,270
B37,B28,258
B37,B29,246
B37,B30,234
B37,B31,222
B37,B32,210
B37,B33,198
B37,B34,186
B37,B35,174
B37,B36,162
B37,B38,162
B37,B39,174
B37,B40,186
B38,B01,594
B38,B02,582
B38,B03,570
B38,B04,558
B38,B05,546
B38,B06,534
B38,B07,522
B38,B08,510
B38,B09,498
B38,B10,486
B38,B11,474
B38,B12,462
B38,B13,450
B38,B14,438
B38,B15,426
B38,B16,414
B38,B17,402
B38,B18,390
B38,B19,378
B38,B20,366
B38,B21,354
B38,B22,342
B38,B23,330
B38,B24,318
B38,B25,306
B38,B26,294
B38,B27,282
B38,B28,270
B38,B29,258
B38,B30,246
B38,B31,234
B38,B32,222
B38,B33,210
B38,B34,198
B38,B35,186
B38,B36,174
B38,B37,162
B38,B39,162
B38,B40,174
B39,B01,606
B39,B02,594
B39,B03,582
B39,B04,570
B39,B05,558
B39,B06,546
B39,B07,534
B39,B08,522
B39,B09,510
B39,B10,498
B39,B11,486
B39,B12,474
B39,B13,462
B39,B14,450
B39,B15,438
B39,B16,426
B39,B17,414
B39,B18,402
B39,B19,390
B39,B20,378
B39,B21,366
B39,B22,354
B39,B23,342
B39,B24,330
B39,B25,318
B39,B26,306
B39,B27,294
B39,B28,282
B39,B29,270
B39,B30,258
B39,B31,246
B39,B32,234
B39,B33,222
B39,B34,210
B39,B35,198
B39,B36,186
B39,B37,174
B39,B38,162
B39,B40,162
B40,B01,618
B40,B02,606
B40,B03,594
B40,B04,582
B40,B05,570
B40,B06,558
B40,B07,546
B40,B08,534
B40,B09,522
B40,B10,510
B40,B11,498
B40,B12,486
B40,B13,474
B40,B14,462
B40,B15,450
B40,B16,438
B40,B17,426
B40,B18,414
B40,B19,402
B40,B20,390
B40,B21,378
B40,B22,366
B40,B23,354
B40,B24,342
B40,B25,330
B40,B26,318
B40,B27,306
B40,B28,294
B40,B29,282
B40,B30,270
B40,B31,258
B40,B32,246
B40,B33,234
B40,B34,222
B40,B35,210
B40,B36,198
B40,B37,186
B40,B38,174
B40,B39,162
